COUNTY,K_count_1991,K_count_1992,K_count_1993,K_count_1994,K_count_1995,K_count_1996,K_count_1997,K_count_1998,K_count_1999,K_count_2000,K_count_2001,K_count_2002,K_count_2003,K_count_2004,K_count_2005,K_count_2006,K_count_2007,K_count_2008,K_count_2009,K_count_2010,K_count_2011,K_count_2012,K_count_2013,K_count_2014,K_count_2015,K_count_2016,K_count_2017,K_count_2018,K_count_2019,K_med1990,K_med1991,K_med1992,K_med1993,K_med1994,K_med1995,K_med1996,K_med1997,K_med1998,K_med1999,K_med2000,K_med2001,K_med2002,K_med2003,K_med2004,K_med2005,K_med2006,K_med2007,K_med2008,K_med2009,K_med2010,K_med2011,K_med2012,K_med2013,K_med2014,K_med2015,K_med2016,K_med2017,K_med2018,K_med2019,P_count_1990,P_count_1991,P_count_1992,P_count_1993,P_count_1994,P_count_1995,P_count_1996,P_count_1997,P_count_1998,P_count_1999,P_count_2000,P_count_2001,P_count_2002,P_count_2003,P_count_2004,P_count_2005,P_count_2006,P_count_2007,P_count_2008,P_count_2009,P_count_2010,P_count_2011,P_count_2012,P_count_2013,P_count_2014,P_count_2015,P_count_2016,P_count_2017,P_count_2018,P_count_2019,P_med1990,P_med1991,P_med1992,P_med1993,P_med1994,P_med1995,P_med1996,P_med1997,P_med1998,P_med1999,P_med2000,P_med2001,P_med2002,P_med2003,P_med2004,P_med2005,P_med2006,P_med2007,P_med2008,P_med2009,P_med2010,P_med2011,P_med2012,P_med2013,P_med2014,P_med2015,P_med2016,P_med2017,P_med2018,P_med2019,0
ADAIR,1,3,1,1,11,19,18,6,9,10,15,12,2,2,8,25,11,5,3,6,3,3,4,2,3,4,4,1,1,0,234,193,94,193,255,120,228,174,259,232,230,224,198,146,306,246,237,256,264,190,348,251,284,268,159,238,230,1559,484,0,1,3,1,1,11,19,18,6,9,10,15,12,2,2,8,25,11,5,3,6,3,3,4,2,3,4,4,1,1,0,16,29,16,26,173,82,178,64,143,173,98,116,224,64,170,114,118,105,117,92,202,47,116,38,115,264,33,539,215,0
ALLEN,5,0,10,6,7,3,4,0,2,0,1,2,6,6,9,12,4,10,1,2,1,12,1,1,4,11,8,3,5,236,220,0,225,209,334,335,218,0,238,0,263,184,128,256,215,265,342,186,190,178,741,176,196,314,220,205,229,250,671,15,5,0,10,6,7,3,4,0,2,0,1,2,6,6,9,12,4,10,1,2,1,12,1,1,4,11,8,3,5,39,107,0,60,39,98,78,88,0,80,0,132,26,19,70,117,88,117,104,120,39,53,66,138,94,77,119,43,93,192,0
ANDERSON,1,1,0,0,0,1,0,0,0,1,0,1,0,2,1,0,0,7,0,3,0,5,0,3,1,12,16,15,1,0,156,336,0,0,0,497,0,0,0,397,0,182,0,126,151,0,0,431,0,313,0,263,0,154,189,244,280,226,122,0,1,1,0,0,0,1,0,0,0,1,0,1,0,2,1,0,0,7,0,3,0,5,0,3,1,12,16,15,1,0,265,173,0,0,0,24,0,0,0,154,0,86,0,50,149,0,0,157,0,62,0,368,0,232,36,180,414,69,270,0
BALLARD,11,5,13,19,13,22,23,31,46,18,44,32,21,29,1,16,0,31,4,2,0,11,3,2,1,1,1,0,1,304,250,224,261,248,272,242,243,264,290,198,245,196,231,222,99,176,0,219,252,377,0,230,224,256,202,186,316,0,137,35,11,5,13,19,13,22,23,31,46,18,44,32,21,29,1,16,0,31,4,2,0,11,3,2,1,1,1,0,1,77,51,67,86,66,59,87,68,68,76,48,54,56,48,61,180,43,0,57,70,186,0,67,80,82,63,39,74,0,58,0
BARREN,6,11,7,33,41,7,6,0,5,7,10,5,6,2,6,2,4,4,3,4,0,3,5,1,11,1,4,2,3,297,435,286,406,241,273,287,205,0,252,223,140,236,228,218,399,314,121,296,260,403,0,577,200,162,240,241,212,198,280,11,6,11,7,33,41,7,6,0,5,7,10,5,6,2,6,2,4,4,3,4,0,3,5,1,11,1,4,2,3,145,137,82,131,52,61,116,56,0,85,71,79,72,122,26,192,128,40,160,111,246,0,339,34,64,94,128,50,63,23,0
BATH,1,18,1,11,11,2,0,11,0,0,0,0,1,0,3,0,12,0,0,2,1,2,2,0,0,1,0,0,0,187,217,278,345,344,273,366,0,236,0,0,0,0,171,0,129,0,124,0,0,170,303,296,160,0,0,343,0,0,0,6,1,18,1,11,11,2,0,11,0,0,0,0,1,0,3,0,12,0,0,2,1,2,2,0,0,1,0,0,0,22,53,107,112,133,126,180,0,109,0,0,0,0,101,0,33,0,26,0,0,82,441,96,24,0,0,142,0,0,0,0
BELL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,0,0,0,0,0,0,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,70,0,0
BOONE,10,0,10,3,5,12,6,7,11,7,11,9,9,11,6,5,7,5,6,2,12,18,19,5,3,5,9,6,10,278,238,0,284,282,317,240,248,279,307,226,278,230,229,246,224,252,267,305,370,350,238,216,132,229,211,176,357,244,232,7,10,0,10,3,5,12,6,7,11,7,11,9,9,11,6,5,7,5,6,2,12,18,19,5,3,5,9,6,10,185,30,0,142,105,192,112,76,103,22,70,126,137,34,44,84,62,66,106,97,98,70,92,55,107,146,161,110,108,34,0
BOURBON,1,5,0,19,44,37,25,15,24,8,8,7,10,3,14,14,26,15,2,43,25,27,12,14,5,4,7,1,12,275,244,431,0,270,354,252,280,315,326,231,454,398,407,399,338,448,292,302,332,347,199,242,202,206,357,206,245,337,213,13,1,5,0,19,44,37,25,15,24,8,8,7,10,3,14,14,26,15,2,43,25,27,12,14,5,4,7,1,12,121,25,381,0,355,170,188,235,67,294,416,254,78,109,83,63,146,104,263,193,87,81,141,56,58,58,52,80,59,76,0
BOYD,0,4,2,0,0,1,1,0,2,1,2,0,3,0,10,15,1,1,3,1,1,0,1,3,1,2,0,0,0,0,0,158,230,0,0,211,300,0,180,268,519,0,247,0,166,177,193,229,297,305,179,0,312,170,205,178,0,0,0,0,0,4,2,0,0,1,1,0,2,1,2,0,3,0,10,15,1,1,3,1,1,0,1,3,1,2,0,0,0,0,0,32,283,0,0,23,9,0,33,94,32,0,28,0,10,25,6,37,30,47,10,0,104,97,8,16,0,0,0,0
BOYLE,0,19,14,17,49,0,0,1,0,0,1,0,0,8,11,3,4,12,7,12,0,18,4,6,2,6,0,6,7,307,0,226,260,328,249,0,0,197,0,0,216,0,0,192,234,430,226,254,180,200,0,167,152,325,148,112,0,219,287,5,0,19,14,17,49,0,0,1,0,0,1,0,0,8,11,3,4,12,7,12,0,18,4,6,2,6,0,6,7,64,0,54,64,160,80,0,0,133,0,0,41,0,0,442,95,245,890,548,499,222,0,580,75,444,64,120,0,255,76,0
BRACKEN,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,2,0,1,1,4,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,0,0,330,0,161,0,288,297,312,224,0,0,0,260,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,2,0,1,1,4,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,455,0,134,0,94,104,114,50,0,0,0,102,96,0
BREATHITT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,142,311,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,86,24,19,0,0
BRECKINRIDGE,3,6,9,2,15,32,10,12,7,11,5,26,1,8,19,20,15,16,48,17,24,117,293,95,44,42,17,19,8,0,387,221,365,335,308,296,318,308,154,274,257,249,249,223,201,244,185,198,277,191,229,215,228,231,276,226,244,230,172,0,3,6,9,2,15,32,10,12,7,11,5,26,1,8,19,20,15,16,48,17,24,117,293,95,44,42,17,19,8,0,107,56,36,141,61,60,72,73,20,75,42,41,68,106,81,65,48,29,71,58,56,76,61,63,88,44,49,71,36,0
BULLITT,6,22,35,5,19,4,0,31,5,1,20,5,1,1,0,0,11,0,3,3,2,5,4,1,0,22,1,0,0,241,230,198,272,262,270,283,0,265,469,306,299,282,149,163,0,0,242,0,201,127,322,146,358,92,0,242,444,0,0,13,6,22,35,5,19,4,0,31,5,1,20,5,1,1,0,0,11,0,3,3,2,5,4,1,0,22,1,0,0,54,47,44,79,92,70,20,0,58,50,23,48,189,17,13,0,0,41,0,77,30,32,31,116,9,0,62,98,0,0,0
BUTLER,1,1,8,3,2,6,0,1,0,0,1,0,1,2,1,0,1,1,4,1,1,1,2,2,1,7,0,2,0,207,97,182,228,161,342,201,0,305,0,0,309,0,217,250,165,0,381,166,98,99,108,123,210,133,107,181,0,155,0,1,1,1,8,3,2,6,0,1,0,0,1,0,1,2,1,0,1,1,4,1,1,1,2,2,1,7,0,2,0,29,16,24,78,26,180,70,0,36,0,0,180,0,5,94,9,0,238,23,22,12,15,126,10,40,104,26,0,5,0,0
CALDWELL,26,14,13,18,16,12,25,13,12,5,4,8,0,12,124,81,115,28,72,84,111,191,9,75,4,110,0,1,0,292,352,368,368,298,269,285,274,281,133,237,336,220,0,166,198,249,155,246,272,290,266,252,202,225,200,211,0,210,0,25,26,14,13,18,16,12,25,13,12,5,4,8,0,12,124,81,115,28,72,84,111,191,9,75,4,110,0,1,0,49,40,70,60,36,34,52,41,53,35,22,248,59,0,36,32,46,32,50,50,67,58,63,34,81,18,48,0,32,0,0
CALLOWAY,16,46,21,3,27,28,24,15,25,7,3,20,13,20,14,8,7,2,1,1,1,0,0,13,1,0,0,0,2,326,394,312,290,384,389,264,292,419,250,279,308,320,228,262,270,256,160,308,220,168,233,0,0,216,348,0,0,0,284,50,16,46,21,3,27,28,24,15,25,7,3,20,13,20,14,8,7,2,1,1,1,0,0,13,1,0,0,0,2,87,102,73,70,63,96,63,73,147,88,100,57,70,78,58,52,58,24,194,40,82,4,0,0,51,157,0,0,0,16,0
CAMPBELL,1,1,13,0,4,1,19,2,0,0,4,5,2,0,1,1,3,0,0,0,0,1,1,0,0,2,0,0,0,0,151,234,208,0,270,268,259,233,0,0,348,160,248,0,228,166,292,0,0,0,0,341,278,0,0,205,0,0,0,0,1,1,13,0,4,1,19,2,0,0,4,5,2,0,1,1,3,0,0,0,0,1,1,0,0,2,0,0,0,0,43,64,50,0,62,120,82,32,0,0,92,53,170,0,112,284,155,0,0,0,0,82,68,0,0,26,0,0,0,0
CARLISLE,27,19,98,9,8,4,2,16,13,16,19,4,1,0,0,5,1,5,1,11,6,13,5,2,0,2,0,0,0,256,294,319,320,283,308,296,204,300,220,384,297,216,919,0,0,147,226,263,153,228,372,306,165,181,0,142,0,0,0,22,27,19,98,9,8,4,2,16,13,16,19,4,1,0,0,5,1,5,1,11,6,13,5,2,0,2,0,0,0,78,77,83,104,57,81,56,76,76,69,104,66,70,919,0,0,25,48,101,40,79,135,144,120,200,0,49,0,0,0,0
CARROLL,0,1,1,1,0,0,0,0,1,0,0,0,0,0,4,0,1,3,0,0,0,0,0,0,0,0,2,0,1,0,0,224,441,659,0,0,0,0,289,0,0,0,0,0,271,0,263,217,0,0,0,0,0,0,0,0,287,0,203,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,4,0,1,3,0,0,0,0,0,0,0,0,2,0,1,0,0,82,189,480,0,0,0,0,300,0,0,0,0,0,362,0,228,103,0,0,0,0,0,0,0,0,92,0,197,0
CARTER,0,1,3,0,0,0,0,0,0,0,4,0,0,0,2,1,3,2,1,0,0,0,1,0,8,0,0,1,0,0,0,330,235,0,0,0,0,0,0,0,305,0,0,0,172,117,240,280,183,0,0,0,140,0,226,0,0,127,0,0,0,1,3,0,0,0,0,0,0,0,4,0,0,0,2,1,3,2,1,0,0,0,1,0,8,0,0,1,0,0,0,104,64,0,0,0,0,0,0,0,206,0,0,0,90,10,86,317,122,0,0,0,28,0,76,0,0,87,0,0
CASEY,13,0,3,0,7,9,1,2,2,0,3,0,0,0,0,0,0,8,11,10,1,2,1,13,2,3,2,0,0,318,249,0,274,0,206,198,168,194,124,0,202,0,0,0,0,0,0,248,255,296,265,512,195,175,200,241,181,0,0,5,13,0,3,0,7,9,1,2,2,0,3,0,0,0,0,0,0,8,11,10,1,2,1,13,2,3,2,0,0,126,69,0,46,0,153,54,95,62,32,0,42,0,0,0,0,0,0,67,130,158,536,792,110,35,110,221,120,0,0,0
CHRISTIAN,17,74,15,10,20,23,81,58,10,0,11,3,3,4,1,0,8,1,2,15,4,8,3,3,0,23,0,12,3,350,362,392,326,370,374,320,321,250,353,0,328,265,187,318,388,0,217,532,252,355,182,380,462,189,0,240,0,304,361,34,17,74,15,10,20,23,81,58,10,0,11,3,3,4,1,0,8,1,2,15,4,8,3,3,0,23,0,12,3,87,80,48,79,71,72,72,62,59,76,0,47,86,43,102,180,0,60,19,22,170,72,146,146,16,0,68,0,402,107,0
CLARK,0,0,2,1,6,13,17,2,1,1,0,0,1,1,0,1,2,3,0,0,4,2,3,3,0,0,0,0,0,249,0,0,340,387,340,341,272,286,250,806,0,0,440,460,0,535,344,545,0,0,475,346,256,399,0,0,0,0,0,2,0,0,2,1,6,13,17,2,1,1,0,0,1,1,0,1,2,3,0,0,4,2,3,3,0,0,0,0,0,38,0,0,418,311,78,171,162,80,92,536,0,0,474,31,0,42,98,359,0,0,84,62,38,115,0,0,0,0,0,0
CLAY,0,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,11,0,0,0,118,128,0,0,0,0,0,0,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,133,0,244,0,0,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,11,0,0,0,12,35,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,142,0,112,0
CLINTON,1,5,0,3,0,0,1,0,0,1,3,5,1,2,1,1,8,1,7,7,6,1,5,5,4,2,9,6,3,138,152,120,0,148,0,0,557,0,0,191,292,236,158,90,290,93,264,253,362,368,232,234,311,509,234,161,262,168,148,1,1,5,0,3,0,0,1,0,0,1,3,5,1,2,1,1,8,1,7,7,6,1,5,5,4,2,9,6,3,103,39,31,0,56,0,0,482,0,0,171,235,191,105,16,248,21,106,285,252,226,77,190,163,169,156,38,225,72,141,0
CRITTENDEN,6,8,6,4,28,1,5,5,6,2,0,0,1,3,1,12,11,3,9,0,3,42,6,20,12,1,1,21,3,208,171,192,273,254,224,119,236,153,176,244,0,0,111,137,124,137,157,307,193,0,185,178,133,220,118,465,124,191,198,6,6,8,6,4,28,1,5,5,6,2,0,0,1,3,1,12,11,3,9,0,3,42,6,20,12,1,1,21,3,22,26,30,20,44,44,16,31,32,42,48,0,0,18,9,12,20,15,22,34,0,24,42,11,38,21,24,26,22,31,0
CUMBERLAND,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,6,0,0,1,2,0,6,757,0,0,0,0,0,0,0,0,0,0,282,190,0,0,0,0,0,0,214,0,0,0,136,0,0,124,274,0,140,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,6,0,0,1,2,0,6,615,0,0,0,0,0,0,0,0,0,0,124,68,0,0,0,0,0,0,38,0,0,0,70,0,0,213,102,0,56,0
DAVIESS,19,36,20,15,22,24,59,4,31,3,5,2,0,2,0,5,0,4,3,7,2,2,16,0,0,2,1,0,1,336,244,273,218,184,310,236,236,224,346,363,338,143,0,382,0,148,0,273,164,218,184,197,302,0,0,188,541,0,331,12,19,36,20,15,22,24,59,4,31,3,5,2,0,2,0,5,0,4,3,7,2,2,16,0,0,2,1,0,1,201,63,70,68,59,80,80,92,58,73,97,131,62,0,63,0,11,0,16,20,54,312,77,142,0,0,67,261,0,67,0
EDMONSON,0,5,1,1,2,1,1,0,5,2,0,2,0,0,2,6,0,0,0,3,0,6,3,0,7,0,0,4,1,0,0,134,268,107,170,131,392,0,160,216,0,164,0,0,131,270,0,0,0,226,0,231,238,0,303,0,0,131,118,0,0,5,1,1,2,1,1,0,5,2,0,2,0,0,2,6,0,0,0,3,0,6,3,0,7,0,0,4,1,0,0,61,56,48,34,77,201,0,36,69,0,28,0,0,8,58,0,0,0,32,0,38,50,0,45,0,0,36,29,0
ELLIOTT,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,0,0,179,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,0,0,46,0,0,0,0,0,0,0,0,0
ESTILL,0,0,0,0,0,0,0,0,5,0,0,0,0,2,1,3,3,0,4,1,3,3,9,8,3,6,2,9,0,525,0,0,0,0,0,0,0,0,225,0,0,0,0,150,459,145,156,0,210,309,246,216,184,180,344,211,148,203,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,2,1,3,3,0,4,1,3,3,9,8,3,6,2,9,0,28,0,0,0,0,0,0,0,0,32,0,0,0,0,48,22,38,46,0,71,12,76,43,25,78,56,105,24,150,0,0
FAYETTE,4,6,4,2,2,8,3,7,2,10,5,10,5,11,3,0,6,10,4,7,6,3,4,5,2,2,2,5,2,0,241,207,298,444,642,296,238,238,406,224,284,286,391,216,288,0,362,482,194,309,226,320,578,523,342,364,226,387,454,0,4,6,4,2,2,8,3,7,2,10,5,10,5,11,3,0,6,10,4,7,6,3,4,5,2,2,2,5,2,0,49,536,88,146,591,98,168,52,408,210,300,281,179,268,406,0,290,229,40,136,72,283,372,315,160,559,76,207,364,0
FLEMING,4,0,0,5,2,4,4,9,6,4,1,1,0,15,0,0,0,8,10,0,0,0,5,0,7,1,0,0,0,200,312,0,0,192,136,230,244,316,348,332,373,429,0,349,0,0,0,338,238,0,0,0,287,0,272,135,0,0,0,8,4,0,0,5,2,4,4,9,6,4,1,1,0,15,0,0,0,8,10,0,0,0,5,0,7,1,0,0,0,48,120,0,0,170,74,138,136,123,80,194,126,69,0,214,0,0,0,60,61,0,0,0,40,0,77,200,0,0,0,0
FLOYD,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218,0,0,0,196,0,0,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,40,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0
