COUNTY,1990_H,1990_L,1990_M,1990_VL,1991_H,1991_L,1991_M,1991_VL,1992_H,1992_L,1992_M,1992_VL,1993_H,1993_L,1993_M,1993_VL,1994_H,1994_L,1994_M,1994_VL,1995_H,1995_L,1995_M,1995_VL,1996_H,1996_L,1996_M,1996_VL,1997_H,1997_L,1997_M,1997_VL,1998_H,1998_L,1998_M,1998_VL,1999_H,1999_L,1999_M,1999_VL,2000_H,2000_L,2000_M,2000_VL,2001_H,2001_L,2001_M,2001_VL,2002_H,2002_L,2002_M,2002_VL,2003_H,2003_L,2003_M,2003_VL,2004_H,2004_L,2004_M,2004_VL,2005_H,2005_L,2005_M,2005_VL,2006_H,2006_L,2006_M,2006_VL,2007_H,2007_L,2007_M,2007_VL,2008_H,2008_L,2008_M,2008_VL,2009_H,2009_L,2009_M,2009_VL,2010_H,2010_L,2010_M,2010_VL,2011_H,2011_L,2011_M,2011_VL,2012_H,2012_L,2012_M,2012_VL,2013_H,2013_L,2013_M,2013_VL,2014_H,2014_L,2014_M,2014_VL,2015_H,2015_L,2015_M,2015_VL,2016_H,2016_L,2016_M,2016_VL,2017_H,2017_L,2017_M,2017_VL,2018_H,2018_L,2018_M,2018_VL,2019_H,2019_L,2019_M,2019_VL,count_1990_H,count_1990_L,count_1990_M,count_1990_VL,count_1991_H,count_1991_L,count_1991_M,count_1991_VL,count_1992_H,count_1992_L,count_1992_M,count_1992_VL,count_1993_H,count_1993_L,count_1993_M,count_1993_VL,count_1994_H,count_1994_L,count_1994_M,count_1994_VL,count_1995_H,count_1995_L,count_1995_M,count_1995_VL,count_1996_H,count_1996_L,count_1996_M,count_1996_VL,count_1997_H,count_1997_L,count_1997_M,count_1997_VL,count_1998_H,count_1998_L,count_1998_M,count_1998_VL,count_1999_H,count_1999_L,count_1999_M,count_1999_VL,count_2000_H,count_2000_L,count_2000_M,count_2000_VL,count_2001_H,count_2001_L,count_2001_M,count_2001_VL,count_2002_H,count_2002_L,count_2002_M,count_2002_VL,count_2003_H,count_2003_L,count_2003_M,count_2003_VL,count_2004_H,count_2004_L,count_2004_M,count_2004_VL,count_2005_H,count_2005_L,count_2005_M,count_2005_VL,count_2006_H,count_2006_L,count_2006_M,count_2006_VL,count_2007_H,count_2007_L,count_2007_M,count_2007_VL,count_2008_H,count_2008_L,count_2008_M,count_2008_VL,count_2009_H,count_2009_L,count_2009_M,count_2009_VL,count_2010_H,count_2010_L,count_2010_M,count_2010_VL,count_2011_H,count_2011_L,count_2011_M,count_2011_VL,count_2012_H,count_2012_L,count_2012_M,count_2012_VL,count_2013_H,count_2013_L,count_2013_M,count_2013_VL,count_2014_H,count_2014_L,count_2014_M,count_2014_VL,count_2015_H,count_2015_L,count_2015_M,count_2015_VL,count_2016_H,count_2016_L,count_2016_M,count_2016_VL,count_2017_H,count_2017_L,count_2017_M,count_2017_VL,count_2018_H,count_2018_L,count_2018_M,count_2018_VL,count_2019_H,count_2019_L,count_2019_M,count_2019_VL
LEWIS,0.0,0.0,0.0,0.0,131.0,21.0,41.0,0,145.2,0.0,32.0,0,0.0,0.0,0.0,0.0,103.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,147.0,21.0,0.0,0,111.0,27.0,32.0,0,114.6,13.5,33.0,0,88.33,15.2,34.67,0.0,109.0,0.0,44.0,0,160.6,13.33,60.0,0,144.4,21.12,37.78,0.0,0.0,0.0,0.0,0,311.0,0.0,52.0,0,121.0,0.0,0.0,0.0,103.5,0.0,43.0,0.0,166.67,21.0,35.0,0,76.0,12.67,39.2,0,137.08,15.5,44.17,0.0,238.88,23.0,47.6,0.0,206.84,19.76,40.85,0.0,216.05,15.1,41.6,0.0,102.29,15.67,41.83,4.0,147.57,19.64,44.93,0,111.83,19.86,43.29,0.0,114.12,20.0,41.69,0,149.6,18.09,39.97,0.0,140.89,23.0,41.61,0.0,193.69,13.5,39.21,0.0,0,0,0,0,3,2,3,0,5,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,3,2,0,0,2,1,2,0,5,2,1,0,3,5,6,0,1,0,4,0,10,3,1,0,10,8,9,0,0,0,0,0,1,0,1,0,1,0,0,0,2,0,2,0,3,1,4,0,1,3,5,0,13,6,6,0,8,1,5,0,19,21,13,0,19,29,20,0,31,15,23,1,28,14,29,0,18,14,28,0,24,9,35,0,25,33,29,0,9,8,18,0,16,20,14,0
LINCOLN,152.2,23.2,46.8,0.0,120.83,20.33,45.5,0,118.5,17.67,47.44,0,125.1,20.5,44.14,0.0,144.43,20.4,44.57,0.0,142.07,23.0,47.82,0.0,217.06,25.0,41.75,0,109.22,22.0,45.36,0,132.33,26.5,47.65,0,106.91,14.0,46.09,0.0,125.52,18.0,57.0,0,143.53,0.0,45.33,0,123.09,24.0,49.1,0.0,106.84,0.0,43.56,0,162.97,16.0,49.0,0,135.0,19.0,47.23,0.0,156.12,23.0,45.0,0.0,148.0,0.0,44.81,0,115.49,14.0,49.15,0,128.15,0.0,46.06,0.0,133.49,24.0,48.74,0.0,167.6,23.14,46.59,0.0,163.65,24.29,44.19,0.0,170.55,18.76,43.21,0.0,175.62,20.0,44.19,0,145.59,23.92,43.78,0.0,140.11,21.8,43.41,0,166.13,22.83,43.93,0.0,164.9,22.36,44.53,0.0,150.79,22.33,42.0,0.0,15,5,20,0,29,3,4,0,6,6,9,0,10,2,14,0,7,5,7,0,27,1,11,0,16,2,4,0,9,3,11,0,30,2,26,0,23,1,11,0,21,1,2,0,45,0,12,0,32,2,10,0,32,0,9,0,35,3,14,0,35,2,22,0,34,1,12,0,21,0,21,0,37,2,13,0,27,0,16,0,51,1,27,0,68,7,39,0,111,7,75,0,94,17,52,0,100,15,48,0,61,12,54,0,37,15,34,0,103,12,69,0,83,14,55,0,33,6,24,0
LIVINGSTON,95.81,23.5,36.0,0.0,148.0,25.0,53.0,0,145.24,20.0,44.67,0,148.33,21.0,40.83,0.0,105.0,9.0,45.17,0.0,101.33,0.0,51.0,0.0,123.44,27.0,47.2,0,116.25,20.0,56.0,0,119.55,15.08,43.0,4,74.0,8.0,56.0,0.0,0.0,0.0,0.0,0,311.0,14.0,41.0,0,91.0,15.5,41.33,0.0,131.0,0.0,53.5,0,140.93,18.0,47.31,0,93.44,0.0,50.33,0.0,108.94,17.44,43.31,0.0,99.38,15.4,42.08,0,129.0,17.0,33.33,0,82.67,21.75,42.44,5.0,0.0,27.0,48.0,0.0,128.75,20.0,37.5,0.0,108.11,20.47,42.31,0.0,139.48,16.18,46.67,2.0,109.0,18.0,36.29,0,112.33,25.67,42.75,0.0,93.62,18.57,41.23,0,96.44,19.87,36.92,0.0,0.0,22.5,39.0,0.0,85.0,12.29,41.0,1.5,16,2,1,0,6,1,2,0,21,1,12,0,12,7,6,0,9,1,6,0,6,0,1,0,16,1,10,0,4,3,2,0,22,12,11,3,1,2,1,0,0,0,0,0,1,2,1,0,1,2,3,0,6,0,2,0,40,4,13,0,9,0,3,0,17,9,26,0,8,5,13,0,10,6,6,0,3,8,18,1,0,1,3,0,4,1,2,0,18,15,13,0,25,34,15,1,5,3,7,0,6,3,8,0,8,14,13,0,9,15,13,0,0,2,3,0,3,7,8,2
LOGAN,109.5,0.0,43.67,0.0,129.89,0.0,45.8,0,111.83,18.75,43.54,0,96.54,16.0,49.0,0.0,71.5,0.0,43.0,0.0,117.36,24.0,40.5,0.0,107.0,0.0,39.67,0,90.0,0.0,46.0,0,188.5,17.0,40.0,0,112.5,0.0,0.0,0.0,118.4,23.0,46.5,0,153.07,15.0,47.2,0,115.27,20.0,48.33,0.0,96.14,0.0,43.7,0,172.43,0.0,47.4,5,116.55,21.0,45.08,0.0,91.29,25.0,49.5,0.0,170.6,0.0,53.0,0,110.97,20.08,42.44,0,116.0,21.75,41.5,0.0,90.56,19.25,47.75,5.0,273.0,24.5,45.67,0.0,141.5,15.5,42.25,0.0,65.5,20.25,41.14,0.0,0.0,0.0,50.0,0,100.36,16.92,44.9,0.0,100.71,23.0,43.17,0,74.0,25.5,43.56,0.0,114.0,15.83,0.0,0.0,0.0,11.67,0.0,0.0,6,0,3,0,19,0,10,0,12,8,13,0,13,1,3,0,2,0,4,0,14,1,4,0,2,0,3,0,2,0,4,0,2,2,1,0,4,0,0,0,10,1,6,0,14,1,5,0,15,1,3,0,7,0,10,0,7,0,5,1,11,4,12,0,14,1,8,0,10,0,2,0,61,12,34,0,6,4,12,0,9,4,4,1,8,2,3,0,4,2,4,0,2,4,7,0,0,0,4,0,14,12,10,0,7,2,6,0,1,2,9,0,7,6,0,0,0,3,0,0
LYON,61.0,0.0,49.0,0.0,72.0,0.0,0.0,0,130.0,0.0,0.0,0,112.0,0.0,44.62,0.0,86.0,0.0,44.0,0.0,94.44,20.0,43.75,0.0,164.67,0.0,35.0,0,120.0,13.8,48.17,0,125.31,17.14,46.35,0,114.38,17.0,43.14,0.0,93.25,14.5,39.17,0,118.55,17.5,46.25,0,157.62,0.0,37.25,0.0,119.33,22.5,46.2,0,0.0,0.0,0.0,0,100.54,20.4,38.54,0.0,77.1,21.0,41.5,0.0,204.67,8.0,0.0,5,101.33,26.0,44.5,0,85.0,0.0,0.0,0.0,88.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,130.86,17.05,40.33,0.0,81.0,14.0,44.0,5.0,137.31,15.47,42.8,0,134.75,26.0,33.0,0.0,94.14,14.5,58.5,0,84.0,0.0,44.0,0.0,143.0,0.0,47.0,0.0,79.2,0.0,40.4,0.0,1,0,2,0,1,0,0,0,3,0,0,0,11,0,8,0,6,0,4,0,9,2,4,0,9,0,1,0,12,5,6,0,35,14,17,0,16,3,7,0,4,10,6,0,11,4,4,0,8,0,4,0,6,2,5,0,0,0,0,0,39,30,46,0,10,1,20,0,3,1,0,1,3,1,8,0,3,0,0,0,1,1,0,0,0,0,0,0,14,19,15,0,2,9,2,1,13,38,10,0,4,1,1,0,14,4,2,0,3,0,1,0,6,0,4,0,5,0,5,0
MADISON,117.25,18.5,39.57,0.0,114.0,0.0,0.0,0,181.5,0.0,0.0,0,0.0,0.0,0.0,4.0,96.0,6.0,38.5,0.0,201.5,17.0,28.0,0.0,219.2,27.0,0.0,0,0.0,0.0,0.0,0,140.5,0.0,34.0,0,147.0,0.0,0.0,0.0,195.0,0.0,0.0,0,187.0,0.0,0.0,0,119.25,0.0,0.0,0.0,104.0,0.0,0.0,0,178.5,0.0,0.0,0,0.0,0.0,0.0,0.0,98.0,0.0,55.0,0.0,80.6,0.0,0.0,0,135.0,0.0,56.0,0,96.5,0.0,33.0,0.0,158.0,0.0,46.0,0.0,64.0,0.0,45.25,0.0,134.4,22.67,41.0,0.0,112.0,0.0,41.5,0.0,165.75,8.0,43.67,0,0.0,19.0,44.43,0.0,99.83,24.0,41.44,0,110.0,15.4,43.54,0.0,189.0,19.5,35.6,0.0,103.29,21.0,41.71,0.0,4,2,7,0,3,0,0,0,2,0,0,0,0,0,0,1,1,1,2,0,2,1,1,0,5,1,0,0,0,0,0,0,4,0,1,0,2,0,0,0,3,0,0,0,1,0,0,0,4,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,5,0,0,0,2,0,2,0,2,0,1,0,3,0,1,0,1,0,4,0,5,3,1,0,2,0,4,0,4,1,3,0,0,2,7,0,12,2,9,0,7,5,13,0,2,4,5,0,7,1,7,0
MAGOFFIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,18.5,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MARION,117.82,19.9,43.63,0.0,118.5,18.46,40.79,0,115.64,23.91,44.46,0,121.34,15.59,42.13,0.0,103.74,21.0,43.0,0.0,139.5,24.0,39.14,0.0,108.78,23.57,42.45,0,142.19,12.17,42.94,0,134.87,20.4,44.0,0,116.45,0.0,46.04,0.0,197.0,20.25,43.83,0,95.15,15.0,45.78,0,84.62,15.25,49.5,0.0,127.69,23.8,41.12,0,96.5,14.6,46.75,0,144.4,22.0,45.0,0.0,97.0,16.25,42.5,0.0,174.33,0.0,58.0,0,151.5,0.0,0.0,0,100.0,15.5,46.92,0.0,178.92,19.33,43.25,0.0,191.8,0.0,45.43,0.0,129.5,17.5,46.23,0.0,167.0,25.0,47.25,0.0,151.35,18.75,40.08,0,151.25,19.57,47.24,0.0,152.7,0.0,45.33,0,174.13,14.0,40.9,0.0,107.5,22.0,33.5,0.0,184.0,17.0,44.0,0.0,34,10,30,0,20,13,19,0,22,11,26,0,35,17,31,0,27,1,15,0,20,3,14,0,36,7,49,0,21,6,18,0,30,5,44,0,44,0,26,0,6,4,6,0,34,1,23,0,8,4,4,0,16,5,25,0,8,5,4,0,5,1,2,0,5,4,2,0,3,0,1,0,4,0,0,0,8,4,12,0,13,3,4,0,5,0,7,0,18,10,13,0,14,2,4,0,20,8,12,0,16,7,17,0,10,0,9,0,15,3,10,0,4,1,2,0,10,1,4,0
MARSHALL,94.33,22.0,48.83,0.0,96.12,15.4,41.0,0,77.17,0.0,52.08,0,82.17,23.5,42.3,0.0,107.47,26.33,42.43,0.0,101.5,0.0,45.67,0.0,0.0,18.0,46.33,0,75.25,20.0,44.7,0,109.82,11.6,37.67,5,84.67,0.0,45.67,0.0,115.0,0.0,42.38,0,116.29,23.0,47.06,0,114.4,12.0,40.83,0.0,86.71,20.45,42.0,0,76.2,18.25,41.14,0,89.89,23.0,44.94,0.0,73.0,24.75,46.7,0.0,117.75,20.67,43.85,0,109.4,20.0,47.7,0,99.0,0.0,53.0,0.0,114.0,20.0,43.25,0.0,98.25,21.0,46.0,0.0,103.14,21.64,47.29,0.0,67.6,16.57,41.83,4.0,89.17,16.75,41.0,0,77.6,0.0,46.0,0.0,94.88,20.17,42.0,0,130.89,17.45,36.64,0.0,117.18,18.0,45.56,4.0,101.67,17.21,37.81,3.0,3,1,6,0,16,5,12,0,6,0,12,0,12,2,10,0,17,3,23,0,6,0,9,0,0,1,3,0,4,3,10,0,11,5,6,2,9,0,6,0,8,0,8,0,14,1,16,0,5,1,6,0,7,11,19,0,5,4,7,0,9,2,17,0,4,4,10,0,8,6,13,0,15,4,27,0,1,0,1,0,5,2,8,0,8,2,5,0,7,11,14,0,5,7,6,2,6,8,8,0,20,0,19,0,8,6,11,0,18,11,14,0,11,7,18,1,12,14,16,1
MASON,134.5,0.0,0.0,0.0,149.33,0.0,45.5,0,278.5,0.0,0.0,0,125.71,0.0,50.67,0.0,109.69,19.0,45.5,0.0,141.0,0.0,48.0,0.0,125.25,0.0,52.0,0,150.0,18.0,44.0,0,131.0,0.0,54.8,0,76.0,0.0,48.0,0.0,110.2,0.0,0.0,0,127.87,0.0,51.33,0,118.33,0.0,49.0,0.0,116.0,0.0,40.0,0,123.89,22.0,46.33,0,119.53,0.0,52.5,0.0,124.29,25.0,41.57,0.0,167.71,16.0,50.5,0,141.32,26.0,48.2,0,130.67,18.0,50.5,0.0,107.2,0.0,46.85,0.0,193.08,17.75,48.2,0.0,119.88,23.17,40.18,0.0,127.26,18.43,44.75,0.0,112.94,20.75,43.42,0,127.97,20.0,44.83,0.0,128.78,20.5,46.76,0,120.29,24.17,45.43,0.0,104.21,23.0,47.0,0.0,112.95,0.0,47.25,0.0,2,0,0,0,6,0,2,0,2,0,0,0,7,0,3,0,13,3,2,0,1,0,1,0,4,0,1,0,4,1,3,0,11,0,5,0,1,0,4,0,5,0,0,0,15,0,3,0,9,0,1,0,2,0,2,0,19,1,6,0,15,0,2,0,7,2,7,0,14,1,4,0,19,1,5,0,6,3,6,0,35,0,13,0,12,4,5,0,17,6,11,0,58,7,20,0,35,12,38,0,64,10,29,0,37,2,21,0,31,6,28,0,38,3,19,0,20,0,12,0
MCCRACKEN,124.33,18.0,37.5,0.0,108.0,0.0,47.0,0,122.67,17.5,52.2,0,84.33,27.0,51.17,0.0,119.0,16.0,42.5,0.0,90.94,26.0,50.08,0.0,119.79,20.33,43.54,0,193.0,9.0,46.0,0,94.3,25.33,46.77,0,102.8,0.0,42.0,0.0,90.0,13.0,59.0,0,0.0,0.0,45.25,0,0.0,0.0,0.0,0.0,216.86,0.0,32.33,0,143.43,21.0,39.0,0,133.92,18.56,46.0,0.0,77.0,14.5,52.0,0.0,90.75,0.0,33.5,0,66.0,25.5,44.0,0,428.0,0.0,0.0,0.0,84.0,18.0,0.0,0.0,96.67,20.5,0.0,0.0,195.82,22.67,39.83,0.0,144.6,12.17,40.0,3.0,77.0,13.2,36.5,0,86.67,22.0,46.5,0.0,102.0,27.0,39.0,0,108.25,14.0,48.5,0.0,192.0,18.0,0.0,0.0,167.25,0.0,0.0,0.0,6,1,2,0,1,0,1,0,12,2,5,0,6,1,6,0,9,1,4,0,16,1,12,0,14,3,13,0,1,5,1,0,10,3,13,0,5,0,2,0,1,1,1,0,0,0,4,0,0,0,0,0,14,0,3,0,14,6,6,0,12,9,3,0,7,2,2,0,8,0,2,0,1,4,2,0,1,0,0,0,9,1,0,0,3,2,0,0,11,6,6,0,10,6,1,3,2,5,4,0,3,1,6,0,1,1,2,0,4,1,2,0,1,2,0,0,4,0,0,0
MCCREARY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,219.33,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MCLEAN,129.57,14.0,49.0,0.0,108.44,18.67,48.67,0,137.92,21.5,40.67,0,88.64,0.0,50.12,0.0,111.41,0.0,50.5,0.0,120.71,25.0,45.35,0.0,105.91,23.0,50.11,0,99.14,16.0,43.75,0,79.0,9.0,0.0,0,107.93,17.0,39.75,0.0,124.28,16.25,44.67,0,162.0,23.0,44.87,0,147.4,19.94,48.26,0.0,89.85,23.67,44.94,0,118.31,0.0,43.44,0,137.58,21.5,47.31,0.0,125.12,0.0,42.5,0.0,134.58,0.0,51.0,0,101.85,22.0,45.46,0,103.62,24.4,46.19,0.0,88.47,0.0,47.42,0.0,303.14,0.0,51.0,0.0,128.99,26.0,46.63,0.0,97.4,0.0,41.0,0.0,90.87,0.0,48.62,0,115.18,20.67,44.07,0.0,128.5,0.0,38.2,0,107.17,0.0,0.0,0.0,66.0,0.0,0.0,0.0,103.0,23.0,46.5,0.0,7,1,1,0,32,3,15,0,26,4,9,0,42,0,8,0,22,0,2,0,14,1,17,0,11,1,9,0,7,1,8,0,1,2,0,0,15,1,4,0,61,12,24,0,37,3,15,0,162,17,34,0,20,9,18,0,13,0,9,0,74,2,26,0,16,0,2,0,65,0,11,0,20,2,13,0,34,5,31,0,19,0,31,0,14,0,3,0,72,2,30,0,10,0,3,0,23,0,21,0,40,3,29,0,6,0,5,0,6,0,0,0,1,0,0,0,7,1,2,0
MEADE,91.42,17.24,41.21,0.0,89.32,17.59,42.87,2,96.66,18.28,45.54,0,94.42,17.95,45.74,4.0,109.06,13.2,42.11,0.0,102.37,21.0,43.93,5.0,101.76,20.09,44.22,0,93.86,18.07,44.85,0,93.18,16.48,43.47,0,111.08,17.9,41.45,1.5,109.36,12.33,40.14,0,175.27,17.89,46.09,0,85.14,19.0,39.8,3.0,141.8,21.67,39.88,0,91.09,19.0,43.0,0,90.33,17.67,46.75,0.0,94.15,19.94,43.48,3.0,85.6,22.17,40.3,0,106.64,16.96,42.32,4,152.71,21.09,43.28,2.0,112.13,18.8,40.88,5.0,119.64,16.85,44.12,0.0,116.79,19.49,42.59,0.0,114.44,17.17,37.12,0.0,96.44,22.12,43.17,0,105.43,19.0,41.59,4.0,107.24,19.41,43.48,0,116.33,21.55,41.17,0.0,112.74,22.76,41.37,0.0,96.64,18.33,39.93,5.0,24,17,34,0,25,22,45,1,53,29,46,0,31,19,43,2,18,10,19,0,43,10,29,1,21,11,9,0,14,15,34,0,33,21,36,0,25,10,22,2,22,6,7,0,26,9,22,0,7,9,10,1,5,3,16,0,11,8,25,0,6,6,8,0,26,17,40,2,10,12,33,0,25,27,40,1,14,11,18,1,23,30,32,1,28,13,34,0,76,39,75,0,18,23,17,0,68,40,115,0,42,15,51,1,55,32,58,0,43,11,53,0,27,25,35,0,14,12,27,1
MENIFEE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,17.67,0.0,0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,207.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,181.67,0.0,0.0,0.0,102.5,0.0,43.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.2,23.0,49.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,2,0,1,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MERCER,319.8,0.0,51.5,0.0,468.45,0.0,0.0,0,354.08,0.0,40.0,0,262.11,0.0,0.0,0.0,134.0,0.0,0.0,0.0,242.25,0.0,53.5,0.0,221.0,0.0,55.0,0,321.14,0.0,53.5,0,211.2,0.0,0.0,0,206.4,0.0,0.0,0.0,504.0,0.0,0.0,0,159.12,0.0,0.0,0,100.0,0.0,0.0,0.0,81.0,24.0,41.5,0,318.53,15.0,0.0,0,207.67,14.75,0.0,0.0,410.33,0.0,0.0,0.0,224.0,0.0,41.0,0,278.0,0.0,47.75,0,343.0,0.0,0.0,0.0,445.95,0.0,48.75,0.0,220.0,22.5,44.0,0.0,315.67,16.0,45.5,0.0,304.17,15.83,46.0,0.0,234.33,0.0,39.88,0,267.2,0.0,53.5,0.0,455.44,0.0,0.0,0,243.0,23.0,39.5,0.0,229.12,21.0,44.33,0.0,381.17,0.0,0.0,0.0,15,0,2,0,11,0,0,0,12,0,2,0,9,0,0,0,9,0,0,0,12,0,4,0,8,0,2,0,7,0,2,0,5,0,0,0,5,0,0,0,1,0,0,0,8,0,0,0,1,0,0,0,2,1,2,0,15,1,0,0,3,4,0,0,6,0,0,0,10,0,1,0,17,0,4,0,1,0,0,0,22,0,4,0,18,2,5,0,3,1,2,0,18,6,2,0,18,0,8,0,10,0,2,0,9,0,0,0,4,1,2,0,8,5,3,0,6,0,0,0
METCALFE,89.2,0.0,0.0,0.0,0.0,0.0,0.0,0,101.0,0.0,55.0,0,118.5,0.0,0.0,0.0,105.0,0.0,0.0,0.0,97.5,0.0,43.5,0.0,105.0,23.5,0.0,0,0.0,0.0,0.0,0,167.5,0.0,0.0,0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,61.0,22.0,0.0,0.0,0.0,0.0,0.0,0,95.0,0.0,0.0,0,139.71,26.0,0.0,0.0,204.0,0.0,0.0,0.0,0.0,0.0,0.0,0,171.0,0.0,60.0,0,127.5,0.0,43.0,0.0,76.25,0.0,31.0,0.0,152.5,17.0,38.25,0.0,212.67,22.0,0.0,0.0,167.0,0.0,41.0,0.0,140.91,10.5,49.4,0,172.25,15.33,46.3,1.0,163.75,0.0,51.0,0,156.0,0.0,42.0,0.0,152.58,19.33,50.67,0.0,113.31,22.33,48.0,0.0,5,0,0,0,0,0,0,0,10,0,2,0,2,0,0,0,1,0,0,0,2,0,2,0,1,2,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,7,1,0,0,2,0,0,0,0,0,0,0,1,0,1,0,2,0,3,0,4,0,1,0,2,1,4,0,3,1,0,0,2,0,3,0,11,2,5,0,12,6,10,1,8,0,1,0,3,0,1,0,24,6,3,0,26,3,14,0
